main_id,ra,dec,sp_type
2MASS J14290115+3740261,217.25482759781997,37.67394226121,M9V
SDSS J142325.21+363212.9,215.85503076926,36.53691832835,M2V
IRC -20321,249.81506440978,-21.86427656872,M6
StKM 1-1229C,229.70313837396,29.235165615560003,M3
CVSO 1126,82.2670377,1.2587639,M1e
LP  271-14,216.07516675695996,37.57635315783,M1V
2MASS J14235362+3733310,215.97339078703996,37.55864902072,M2V
CVSO 1164,82.3451779485,0.4988439449399999,M3e
SDSS J105721.83+642542.8,164.34096393641,64.42862419034,M9e
CVSO 1183,82.39538261643,-0.9635178043299999,M3e
HD 149967,250.06623227857,-48.30777602004,M3(II)
V* AS Her,249.71602550780995,14.06621259685,M2e
SDSS J110114.18+633517.2,165.30912689561,63.588150465560005,M2V
2MASS J11024000+6344331,165.66680428951,63.742590241950005,M6V
2MASS J11003030+6352358,165.12629729417,63.87657376711,M2V
V* V521 Car,161.04174976095,-72.06447864085,M5III
2MASS J12400328+1408247,190.01369812118998,14.14020455537,M4V
2MASS J14273933+3740367,216.91375404820997,37.6768683896,M8V
[MM63] 3-14,278.09753339693,-31.550370172689995,M5
[MM63] 3-10,278.02131122711,-31.459504865810004,M8
2MASS J14272570+3745160,216.85708173114,37.7544620707,M2V
V* CV Her,249.65785114407998,30.856882995360003,M3
2MASS J12414683+1419040,190.44512603592,14.317821462130004,M7V
2MASS J11092187+6417346,167.34103648511,64.29297446073,M7V
2MASS J11102094+6425124,167.58729690799,64.42014102672,M4V
2MASS J11083239+6425277,167.13489146889,64.42426799975,M8V
V* V2580 Oph,249.92249635387,-20.87744691375,M6
2MASS J14280450+3808275,217.01876538782997,38.14098564923,M7V
2MASS J11113819+6447061,167.90900211253,64.78502441185,M8V
2MASS J14275855+3809018,216.99390163752997,38.15051661734,M7V
CVSO 1273,82.657111,1.9502579999999998,M4.5e
SDSS J111151.93+645250.4,167.96639418605,64.88067068963,M4V
StM 290,249.88723665407002,-13.25576410485,M7/8
Elia 2-48,249.96106480301998,-24.10229922774,M8III
2MASS J18595861-3107420,284.99423123235,-31.128349049579988,M
2MASS J10582752+6428102,164.61462682909,64.46946412099,M7V
2MASS J11003948+6444149,165.16439125965,64.73746623081,M7V
SLW J1247+1347B,191.81394627197997,13.807769277609996,M2.7
2MASS J14264539+3813301,216.68909286639996,38.22505848209,M6V
2MASS J11040178+6506580,166.0073854708,65.11613247513,M7V
CVSO 1328,82.99312427341,-0.75939517901,M1e
2MASS J10581684+6451494,164.57024330777,64.86368366094,M9V
2MASS J05374359+2422343,84.43163400000002,24.376217,M0e
2MASS J14254565+3818263,216.44018644352,38.30728476563,M7V
2MASS J10582277+6454365,164.59484026605,64.91013338926,M7V
2MASS J14032534+3259541,210.85557376323,32.99828746979,M6V
G 274-22,21.123942999999997,-28.635033999999997,M3+
2MASS J14042810+3316095,211.11710761533996,33.26934702525999,M4V
2MASS J12555740+1227558,193.98921773945,12.465549541859998,M3V
2MASS J12570291+1235406,194.26221776471,12.59466995357,M7V
CVSO 1368,83.178028,3.872988,M1e
2MASS J12573239+1254094,194.38496545030998,12.90260948072,M4V
EM* CGHA   76,318.97834397429,46.16226620756999,M
2MASS J11112221+6602477,167.84242670924,66.04661568915,M4V
CVSO 1395,83.30014709999999,2.1053911999999997,M1e
2MASS J12545216+1252420,193.71730258419998,12.87833060275,M7V
2MASS J14041664+3345024,211.06938247096,33.75063086985,M2V
2MASS J11235314+6400567,170.9712640227,64.01572021474,M6V
