pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-1297 b",0.0283000000,0.000000,0.00274000,0.97000000,"Kepler-1297",5818.00,0.990000,0.990000
"Kepler-80 f",0.0175000000,0.186000,14.03187979,1.21000000,"Kepler-80",4540.00,0.678000,0.730000
"Kepler-113 c",0.0779600000,0.000000,0.02737312,2.18000000,"Kepler-113",4725.00,0.690000,0.750000
"WASP-8 c",5.2800000000,0.000000,9.45000000,12.50000000,"WASP-8",5690.00,0.960000,1.040000
"Wendelstein-1 b",0.0282000000,0.012000,0.59200000,11.56096260,"Wendelstein-1",4251.00,0.610000,0.650000
"HATS-17 b",0.1308000000,0.029000,1.33800000,8.70939300,"HATS-17",5846.00,1.091000,1.131000
"TOI-3894 b",0.0535400000,0.050000,0.82000000,15.27784069,"TOI-3894",6000.00,1.502000,1.138000
"Kepler-1016 b",0.0304400000,0.000000,0.01700000,2.18000000,"Kepler-1016",5821.00,1.000000,0.990000
"WASP-68 b",0.0620600000,0.000000,1.08000000,14.79588000,"WASP-68",5910.00,1.790000,1.490000
"HAT-P-56 b",0.0423000000,0.290000,2.31000000,16.92559000,"HAT-P-56",6566.00,1.470000,1.420000
"TOI-6716 b",0.0319000000,0.880000,0.00287000,0.98200000,"TOI-6716",3110.00,0.231000,0.223000
"HD 191939 f",3.7100000000,0.000000,2.88000000,13.20000000,"HD 191939",5348.00,0.940000,0.810000
"HD 235088 b",0.0706000000,0.000000,0.01305736,1.98200000,"HD 235088",5075.00,0.772000,0.849000
"HIP 55507 b",5.0620000000,0.362000,8.13500000,12.60000000,"HIP 55507",4171.00,0.723643,0.650000
"WASP-79 b",0.0519000000,0.000000,0.85000000,17.14974047,"WASP-79",6600.00,1.510000,1.390000
"HD 77946 b",0.0730000000,0.211000,0.03429524,2.89646124,"HD 77946",6007.00,1.317400,1.197300
"TOI-1136 d",0.1062000000,0.042000,0.02627204,4.62700000,"TOI-1136",5770.00,0.968000,1.022000
"OGLE-2019-BLG-0299L b",2.8000000000,,6.22000000,12.70000000,"OGLE-2019-BLG-0299L",,,0.590000
"TOI-199 c",0.8070000000,0.096000,0.28000000,11.40000000,"TOI-199",5255.00,0.820000,0.936000
"TOI-500 e",,0.073000,0.04735260,3.99000000,"TOI-500",4440.00,0.678000,0.740000
"Kepler-1651 b",0.0692000000,0.130000,0.01270000,1.84000000,"Kepler-1651",3713.00,0.503000,0.522000
"Kepler-1354 b",0.3521000000,0.000000,0.02870000,2.97000000,"Kepler-1354",6168.00,1.240000,1.160000
"HD 100546 b",53.0000000000,,8.50000000,77.34210000,"HD 100546",10500.00,1.852880,2.400000
"HD 158996 b",2.1000000000,0.130000,14.00000000,12.30000000,"HD 158996",4069.00,50.300000,1.800000
